"Date","Hour","Sensor_Location","Count"
"01/12/2021",3,"Flinders.St.Spark.La",NA
"01/12/2021",3,"Southbank",29
"01/12/2021",3,"Queen.St..West.",2
"01/12/2021",3,"Lygon.St..East.",3
"01/12/2021",3,"Flinders.St.Swanston.St..West.",NA
"01/12/2021",3,"Alfred.Place",70
"01/12/2021",3,"Lonsdale.St.Spring.St..West.",8
"01/12/2021",3,"Grattan.St.Swanston.St..West.",5
"01/12/2021",3,"Monash.Rd.Swanston.St..West.",NA
"01/12/2021",3,"Tin.Alley.Swanston.St..West.",NA
"01/12/2021",3,"Little.Collins.St.Swanston.St..East.",NA
"01/12/2021",3,"Flinders.La.Swanston.St..West.",39
"01/12/2021",3,"Pelham.St..South.",1
"01/12/2021",3,"Melbourne.Central.Elizabeth.St..East.",38
"01/12/2021",3,"QVM.Queen.St..East.",6
"01/12/2021",3,"QVM.Therry.St..South.",14
"01/12/2021",3,"Faraday.St.Lygon.St..West.",2
"01/12/2021",3,"QVM.Franklin.St..North.",14
"01/12/2021",3,"Elizabeth.St.Lonsdale.St..South.",11
"01/12/2021",3,"Lincoln.Swanston..W.",12
"01/12/2021",3,"Elizabeth.St.La.Trobe.St..East.",NA
"01/12/2021",3,"Lonsdale.St...Elizabeth.St..North.",10
"01/12/2021",3,"Bourke.St.Bridge",4
"01/12/2021",3,"Bourke.St...Spencer.St..North.",17
"01/12/2021",3,"RMIT.Bld.80...445.Swanston.Street",8
"01/12/2021",3,"Flinders.La.Swanston.St..West..Temporary",NA
"01/12/2021",3,"RMIT.Building.14",7
"01/12/2021",3,"X380.Elizabeth.St",63
"01/12/2021",3,"La.Trobe.St..North.",18
"01/12/2021",3,"X231.Bourke.St",NA
"01/12/2021",3,"Royal.Pde...Grattan.St",3
"01/12/2021",3,"Swanston.St...City.Square",110
"01/12/2021",3,"State.Library...New",17
"01/12/2021",3,"Flinders.Ln...Degraves.St..South.",5
"01/12/2021",3,"Flinders.Ln...Degraves.St..North.",0
"01/12/2021",3,"Flinders.Ln...Degraves.St..Crossing.",9
"01/12/2021",3,"Errol.Street..East.",11
"01/12/2021",3,"Westwood.Place",2
"01/12/2021",3,"Flinders.St...ACMI",NA
"01/12/2021",3,"Bourke.St...Spencer.St..South.",7
"01/12/2021",3,"Spring.St...Flinders.St..West.",NA
"01/12/2021",3,"Macaulay.Rd...Bellair.St",NA
"01/12/2021",3,"Harbour.Esplanade...Pedestrian.Path",NA
"01/12/2021",3,"Harbour.Esplanade...Bike.Path",1
"01/12/2021",3,"Flinders.St..South.",39
"01/12/2021",3,"Elizabeth.St...Flinders.St..East....New.footpath",NA
"01/12/2021",3,"Macaulay.Rd..North.",NA
"01/12/2021",3,"Queensberry.St...Errol.St..South.",NA
"01/12/2021",4,"Bourke.Street.Mall..North.",10
"01/12/2021",4,"Bourke.Street.Mall..South.",2
"01/12/2021",4,"Melbourne.Central",48
"01/12/2021",4,"Town.Hall..West.",25
"01/12/2021",4,"Princes.Bridge",45
"01/12/2021",4,"Flinders.Street.Station.Underpass",33
"01/12/2021",4,"Birrarung.Marr",20
"01/12/2021",4,"Webb.Bridge",29
"01/12/2021",4,"Southern.Cross.Station",6
